feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000002,127400_1..N03R,1,0,,20260512,0,38,1,101N,1778638212,2026-05-12 19:10:12,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000004,127700_1..S03R,1,0,,20260512,0,37,1,139S,1778638226,2026-05-12 19:10:26,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000006,127850_1..N03R,1,0,,20260512,0,36,1,104N,1778638200,2026-05-12 19:10:00,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000008,128300_1..N03R,1,0,,20260512,0,34,1,107N,1778638239,2026-05-12 19:10:39,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000010,128350_1..S03R,1,0,,20260512,0,34,0,136S,1778638251,2026-05-12 19:10:51,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000012,128750_1..N03R,1,0,,20260512,0,29,1,112N,1778638204,2026-05-12 19:10:04,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000014,128950_1..S03R,1,0,,20260512,0,29,0,131S,1778638245,2026-05-12 19:10:45,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000016,129200_1..N03R,1,0,,20260512,0,26,2,115N,1778638255,2026-05-12 19:10:55,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000018,129500_1..S03R,1,0,,20260512,0,25,2,127S,1778638239,2026-05-12 19:10:39,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000020,129700_1..N03R,1,0,,20260512,0,25,2,116N,1778638253,2026-05-12 19:10:53,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000022,130150_1..S03R,1,0,,20260512,0,21,2,123S,1778638249,2026-05-12 19:10:49,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000024,130200_1..N03R,1,0,,20260512,0,22,2,119N,1778638249,2026-05-12 19:10:49,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000026,130800_1..N03R,1,0,,20260512,0,18,2,123N,1778638250,2026-05-12 19:10:50,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000028,130850_1..S03R,1,0,,20260512,0,15,1,117S,1778638243,2026-05-12 19:10:43,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000030,131400_1..N03R,1,0,,20260512,0,14,1,127N,1778638207,2026-05-12 19:10:07,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000032,131650_1..S03R,1,0,,20260512,0,11,1,113S,1778638227,2026-05-12 19:10:27,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000034,132000_1..N03R,1,0,,20260512,0,9,1,132N,1778638236,2026-05-12 19:10:36,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000036,132450_1..S03R,1,0,,20260512,0,6,1,108S,1778638226,2026-05-12 19:10:26,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000038,132600_1..N03R,1,0,,20260512,0,6,2,135N,1778638251,2026-05-12 19:10:51,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000048,123900_2..N01R,2,0,,20260512,0,44,1,208N,1778638229,2026-05-12 19:10:29,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000050,124500_2..S01R,2,0,,20260512,0,46,1,244S,1778638253,2026-05-12 19:10:53,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000053,124900_2..N01R,2,0,,20260512,0,42,2,210N,1778638252,2026-05-12 19:10:52,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000055,125650_2..S01R,2,0,,20260512,0,36,1,233S,1778638233,2026-05-12 19:10:33,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000057,125900_2..N01R,2,0,,20260512,0,36,1,216N,1778638217,2026-05-12 19:10:17,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000059,126400_2..N01R,2,0,,20260512,0,34,1,218N,1778638250,2026-05-12 19:10:50,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000061,126900_2..S01R,2,0,,20260512,0,32,2,229S,1778638241,2026-05-12 19:10:41,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000063,127200_2..N01R,2,0,,20260512,0,30,2,222N,1778638253,2026-05-12 19:10:53,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000065,127800_2..S01R,2,0,,20260512,0,27,2,127S,1778638251,2026-05-12 19:10:51,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000067,128000_2..N01R,2,0,,20260512,0,26,2,227N,1778638252,2026-05-12 19:10:52,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000069,128300_2..S01R,2,0,,20260512,0,25,2,120S,1778638235,2026-05-12 19:10:35,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000071,128850_2..N01R,2,0,,20260512,0,23,1,127N,1778638186,2026-05-12 19:09:46,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000073,129400_2..S01R,2,0,,20260512,0,23,2,226S,1778638242,2026-05-12 19:10:42,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000075,129650_2..N01R,2,0,,20260512,0,20,1,137N,1778638252,2026-05-12 19:10:52,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000078,130700_2..S01R,2,0,,20260512,0,16,1,218S,1778638241,2026-05-12 19:10:41,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000080,131000_2..N01R,2,0,,20260512,0,12,1,235N,1778638218,2026-05-12 19:10:18,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000082,132000_2..S01R,2,0,,20260512,0,9,1,211S,1778638240,2026-05-12 19:10:40,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000084,132450_2..N01R,2,0,,20260512,0,6,2,242N,1778638253,2026-05-12 19:10:53,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000093,127200_3..S01R,3,0,,20260512,0,28,2,251S,1778638247,2026-05-12 19:10:47,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000095,127200_3..N01R,3,0,,20260512,0,31,1,225N,1778638239,2026-05-12 19:10:39,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000097,127950_3..N01R,3,0,,20260512,0,28,0,120N,1778638249,2026-05-12 19:10:49,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000099,128400_3..S01R,3,0,,20260512,0,24,2,239S,1778638250,2026-05-12 19:10:50,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000101,128600_3..N01R,3,0,,20260512,0,25,2,128N,1778638255,2026-05-12 19:10:55,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000103,129600_3..S01R,3,0,,20260512,0,16,2,231S,1778638254,2026-05-12 19:10:54,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000105,129600_3..N01R,3,0,,20260512,0,20,2,230N,1778638246,2026-05-12 19:10:46,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000107,130600_3..N01R,3,0,,20260512,0,18,1,232N,1778638235,2026-05-12 19:10:35,,,0.0,0.0,0.0,0.0,0.0,0,0
