feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000077,126900_2..S01R,2,0,,20260512,0,24,1,227S,1778636923,2026-05-12 18:48:43,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000079,127200_2..N01R,2,0,,20260512,0,21,1,132N,1778636965,2026-05-12 18:49:25,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000081,127800_2..S01R,2,0,,20260512,0,19,2,221S,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000083,128000_2..N01R,2,0,,20260512,0,19,1,228N,1778636915,2026-05-12 18:48:35,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000085,128300_2..S01R,2,0,,20260512,0,15,2,217S,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000087,128850_2..N01R,2,0,,20260512,0,13,1,234N,1778636900,2026-05-12 18:48:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000089,129400_2..S01R,2,0,,20260512,0,11,1,213S,1778636944,2026-05-12 18:49:04,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000091,129650_2..N01R,2,0,,20260512,0,9,2,238N,1778636959,2026-05-12 18:49:19,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000094,130700_2..S01R,2,0,,20260512,0,3,1,205S,1778636968,2026-05-12 18:49:28,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000102,125000_3..S01R,3,0,,20260512,0,29,1,252S,1778636929,2026-05-12 18:48:49,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000104,125300_3..N01R,3,0,,20260512,0,29,2,227N,1778636966,2026-05-12 18:49:26,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000106,126000_3..S01R,3,0,,20260512,0,24,2,239S,1778636967,2026-05-12 18:49:27,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000108,126300_3..N01R,3,0,,20260512,0,27,2,123N,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000110,127200_3..S01R,3,0,,20260512,0,18,0,233S,1778636961,2026-05-12 18:49:21,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000112,127200_3..N01R,3,0,,20260512,0,23,1,137N,1778636826,2026-05-12 18:47:06,,,0.0,0.0,0.0,0.0,0.0,0,0
