feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000002,126500_1..N03R,1,0,,20260512,0,36,2,104N,1778637502,2026-05-12 18:58:22,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000004,126550_1..S03R,1,0,,20260512,0,37,1,139S,1778637474,2026-05-12 18:57:54,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000006,126950_1..N03R,1,0,,20260512,0,32,2,109N,1778637490,2026-05-12 18:58:10,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000008,127150_1..S03R,1,0,,20260512,0,32,1,134S,1778637468,2026-05-12 18:57:48,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000010,127400_1..N03R,1,0,,20260512,0,30,1,111N,1778637472,2026-05-12 18:57:52,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000012,127700_1..S03R,1,0,,20260512,0,28,0,130S,1778637491,2026-05-12 18:58:11,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000014,127850_1..N03R,1,0,,20260512,0,28,2,113N,1778637497,2026-05-12 18:58:17,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000016,128300_1..N03R,1,0,,20260512,0,26,0,115N,1778637496,2026-05-12 18:58:16,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000018,128350_1..S03R,1,0,,20260512,0,24,1,126S,1778637465,2026-05-12 18:57:45,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000020,128750_1..N03R,1,0,,20260512,0,22,1,119N,1778637478,2026-05-12 18:57:58,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000022,128950_1..S03R,1,0,,20260512,0,20,1,122S,1778637492,2026-05-12 18:58:12,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000024,129200_1..N03R,1,0,,20260512,0,18,1,123N,1778637426,2026-05-12 18:57:06,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000026,129500_1..S03R,1,0,,20260512,0,17,1,119S,1778637499,2026-05-12 18:58:19,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000028,129700_1..N03R,1,0,,20260512,0,16,1,125N,1778637462,2026-05-12 18:57:42,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000030,130150_1..S03R,1,0,,20260512,0,13,1,115S,1778637497,2026-05-12 18:58:17,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000032,130200_1..N03R,1,0,,20260512,0,14,1,127N,1778637479,2026-05-12 18:57:59,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000034,130800_1..N03R,1,0,,20260512,0,9,1,132N,1778637481,2026-05-12 18:58:01,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000036,130850_1..S03R,1,0,,20260512,0,8,2,110S,1778637499,2026-05-12 18:58:19,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000038,131400_1..N03R,1,0,,20260512,0,4,1,137N,1778637463,2026-05-12 18:57:43,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000040,131650_1..S03R,1,0,,20260512,0,3,2,104S,1778637497,2026-05-12 18:58:17,,,0.0,0.0,0.0,0.0,0.0,0,0
